Organism Name	Size (Mb)	GC%	Blooming	Proteins	Taxonomy ID	GCA ID	URL										
Phormidium sp. OSCR	4.695	51.10%	Unknown	4158	1666905	GCA_001314905.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/314/905/GCA_001314905.1_ASM131490v1										
Phormidium tenue NIES-30	5.822	56%	Unknown	4997	549789	GCA_001904775.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/904/775/GCA_001904775.1_ASM190477v1										
Phormidium willei BDU 130791	4.601	53.40%	Unknown	3861	399101	GCA_001637315.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/637/315/GCA_001637315.1_ASM163731v1										
Planktothricoides sp. SR001	7.067	43.50%	Unknown	5461	1705388	GCA_001276715.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/276/715/GCA_001276715.1_ASM127671v1										
Planktothrix rubescens	11.394	44.80%	Unknown	4745	59512	GCA_900009275.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/009/275/GCA_900009275.1_AAI_PRJEB10990										
Planktothrix paucivesiculata PCC 9631	68.004	49.10%	Unknown	4871	671071	GCA_900009265.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/009/265/GCA_900009265.1_BBR_PRJEB10994										
Pleurocapsa sp. PCC 7327	4.987	45.20%	Unknown	4271	118163	GCA_000317025.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/025/GCA_000317025.1_ASM31702v1										
Prochlorococcus marinus subsp. pastoris str. CCMP1986	1.658	30.80%	Unknown	1790	59919	GCA_000011465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/465/GCA_000011465.1_ASM1146v1										
Prochlorococcus marinus subsp. marinus str. CCMP1375	1.751	36.40%	Unknown	1882	167539	GCA_000007925.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/925/GCA_000007925.1_ASM792v1										
Prochlorococcus sp. RS04	1.656	31.40%	Unknown	1792	1924287	GCA_001989455.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/989/455/GCA_001989455.1_ASM198945v1										
Prochlorococcus sp. RS01	1.658	31.40%	Unknown	1793	1924286	GCA_001989435.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/989/435/GCA_001989435.1_ASM198943v1										
Prochlorococcus sp. RS50	1.656	31.40%	Unknown	1794	1924285	GCA_001989415.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/989/415/GCA_001989415.1_ASM198941v1										
Prochlorococcus marinus str. MIT 9312	1.709	31.20%	Unknown	1826	74546	GCA_000012645.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/645/GCA_000012645.1_ASM1264v1										
Prochlorococcus marinus str. MIT 9313	2.411	50.70%	nonbloomer	2369	74547	GCA_000011485.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/485/GCA_000011485.1_ASM1148v1										
Prochlorococcus sp. MIT 0604	1.780	31.20%	nonbloomer	1903	1501268	GCA_000757845.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/757/845/GCA_000757845.1_ASM75784v1										
Prochlorococcus marinus str. NATL2A	1.843	35.10%	Unknown	1953	59920	GCA_000012465.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/465/GCA_000012465.1_ASM1246v1										
Pseudanabaena sp. SR411	5.780	42.20%	Unknown	4905	1980935	GCA_002251945.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/251/945/GCA_002251945.1_ASM225194v1										
Pseudanabaena biceps PCC 7429	5.476	43.20%	Unknown	4435	927668	GCA_000332215.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/215/GCA_000332215.1_ASM33221v1										
Raphidiopsis brookii D9	3.187	40.10%	bloomer	2602	533247	GCA_000175855.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/175/855/GCA_000175855.1_ASM17585v1										
Richelia intracellularis HM01	2.213	33.80%	Unknown	1108	1165095	GCA_000350125.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/125/GCA_000350125.1_ASM35012v1										
Richelia intracellularis	5.488	39.20%	Unknown	7768	1164990	GCA_000613065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/613/065/GCA_000613065.1_RintRC_1										
Richelia intracellularis HH01	3.244	33.70%	Unknown	1879	1165094	GCA_000350105.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/350/105/GCA_000350105.1_ASM35010v1										
Rivularia sp. PCC 7116	8.729	37.50%	nonbloomer	6526	373994	GCA_000316665.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/665/GCA_000316665.1_ASM31666v1										
Roseofilum reptotaenium AO1-A	5.826	44.80%	Unknown	4978	1925591	GCA_001890975.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/890/975/GCA_001890975.1_ASM189097v1										
Rubidibacter lacunae KORDI 51-2	4.154	56.20%	nonbloomer	3281	582515	GCA_000473895.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/473/895/GCA_000473895.1_KS51_v1										
Scytonema millei VB511283	7.254	43.50%	Unknown	4950	1245923	GCA_000817735.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/817/735/GCA_000817735.2_ASM81773v2										
Scytonema tolypothrichoides VB-61278	7.893	43.20%	Unknown	6058	1233231	GCA_000828085.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/085/GCA_000828085.2_ASM82808v2										
Scytonema sp. HK-05	9.564	43.70%	Unknown	7320	1137095	GCA_001904675.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/904/675/GCA_001904675.1_ASM190467v1										
Scytonema hofmannii PCC 7110	12.294	41.50%	Unknown	9970	128403	GCA_000346485.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/346/485/GCA_000346485.2_ASM34648v2										
Stanieria cyanosphaera PCC 7437	5.545	36.27%	bloomer	4758	111780	GCA_000317575.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/575/GCA_000317575.1_ASM31757v1										
Synechococcus sp. CC9902	2.235	54.20%	bloomer	2337	316279	GCA_000012505.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/505/GCA_000012505.1_ASM1250v1										
Synechococcus sp. JA-3-3Ab	2.933	60.20%	Unknown	2611	321327	GCA_000013205.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/205/GCA_000013205.1_ASM1320v1										
Synechococcus sp. CC9311	2.607	52.40%	Unknown	2663	64471	GCA_000014585.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/585/GCA_000014585.1_ASM1458v1										
Synechococcus sp. CC9605	2.511	59.20%	Unknown	2665	110662	GCA_000012625.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/625/GCA_000012625.1_ASM1262v1										
Synechococcus sp. JA-2-3B'a(2-13)	3.047	58.50%	Unknown	2692	321332	GCA_000013225.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/225/GCA_000013225.1_ASM1322v1										
Synechococcus elongatus PCC 7942	2.742	55.46%	bloomer	2685	1140	GCA_000012525.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/525/GCA_000012525.1_ASM1252v1										
Synechococcus elongatus PCC 6301	2.696	55.50%	Unknown	2602	269084	GCA_000010065.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/065/GCA_000010065.1_ASM1006v1										
Synechocystis sp. PCC 6803 substr. GT-I	3.570	47.70%	Unknown	3200	1080228	GCA_000284135.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/135/GCA_000284135.1_ASM28413v1										
Synechocystis sp. PCC 6803 substr. PCC-N	3.570	47.70%	Unknown	3202	1080229	GCA_000284215.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/215/GCA_000284215.1_ASM28421v1										
Synechocystis sp. PCC 6803 substr. PCC-P	3.570	47.70%	Unknown	3204	1080230	GCA_000284455.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/455/GCA_000284455.1_ASM28445v1										
Synechocystis sp. PCC 6803	3.947	47.35%	nonbloomer	3584	1148	GCA_000009725.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/725/GCA_000009725.1_ASM972v1										
Thermosynechococcus sp. NK55a	2.520	53.80%	Unknown	2287	1394889	GCA_000505665.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/505/665/GCA_000505665.1_ASM50566v1										
Thermosynechococcus elongatus BP-1	2.594	53.90%	Unknown	2476	197221	GCA_000011345.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/345/GCA_000011345.1_ASM1134v1										
Tolypothrix sp. NIES-4075	8.254	41.80%	Unknown	6758	2005459	GCA_002218085.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/218/085/GCA_002218085.1_ASM221808v1										
Tolypothrix campylonemoides VB511288	9.468	45.10%	Unknown	7510	1245935	GCA_000828075.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/075/GCA_000828075.2_ASM82807v2										
Tolypothrix bouteillei VB521301	11.572	42.40%	Unknown	8215	1479485	GCA_000760695.2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/760/695/GCA_000760695.2_ASM76069v2										
Tolypothrix sp. PCC 7601	9.975	40.70%	Unknown	7629	1188	GCA_000300115.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/300/115/GCA_000300115.1_Fremyella_diplosiphon-2.0.1										
Trichodesmium erythraeum IMS101	7.750	34.10%	bloomer	4549	203124	GCA_000014265.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/265/GCA_000014265.1_ASM1426v1										
Xenococcus sp. PCC 7305	5.930	39.70%	nonbloomer	5059	102125	GCA_000332055.1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/332/055/GCA_000332055.1_ASM33205v1										
